claim,label_binary,user
"Claim:  A user Naresh Yadav shared an image on Facebook with a caption that says, “ Nirav Modi made a statement in London that he didn’t run away from India on his own, but was helped to escape. BJP leaders took a commission of Rs 456 crore for this. ”",fake,Karan Verma
"CLAIM  The viral post has a picture of a Shivling.  The post’s description says that this is the rare photo of the shivlinga of Mecca Madina. The post’s description reads: “For the first time in history, Shivalinga of Mecca Madina is shown here, all Hindus should share.”",real,Siddharth Sethi
"CLAIM  In the viral photo Bollywood actor Shahrukh Khan can be seenwearing a T-shirt, which has ‘Vote for MIM’ written on it. There is also a symbolof a Kite printed on it. The caption, written along with this picture, reads:“Shahrukh Khan is supporting Owaisi, Hindus must come together.”",real,Neha Kaur
"CLAIM  In the viral post, a person can be seen sitting in front ofa Buddhist monk with his head down and hand folded. The post’s caption reads:“144 years old Buddhist monk.”",real,Ishita Nair
Claim  A photo shared on Facebook by a user named ‘Hakeem AbdulGhani Ghani claims that: “A 105 years old baby is born in India”   ,real,Divya Rana
"Claim:   The viral video is shared by the Facebook page ‘Amar Ujala’. The post has  4.6 million views, 19000 reactions, 7317 shares, and 320 comments. The video is supported by a caption: “मेडिकल जगत में पहली बार- पेट की बजाय मुंह से प्रेगनेंट हुई महिला (For the first time in the medical world- a female impregnated via mouth rather than stomach). The video shares a grotesque tale of a 63-years-old South Korean woman who got pregnant by eating semi-cooked squids. As per the viral video, the incident has been also published by the Journal of Parasitology.",real,Pooja Rao
"CLAIM  In the viral post, Rahul Gandhi can be seen reading anewspaper. The photo has been posted with the caption “A person, who can’tread Hindi properly, is pretending to read Kannada.”",real,Aisha Sethi
"Some reports claimed that the Prime Minister inaugurated an already open All India Institute of Ayurveda. How true is this claim? Here is a Fact Check.  


The Prime Minister recently dedicated to the nation, the All India Institute of Ayurveda (AIIA) in New Delhi’s Sarita Vihar. Narendra Modi’s personal website and the BJP’s official twitter handle reported this as the inauguration of the first ever AIIA.


A few people in the Congress took exception and the National Herald even did a story saying the AIIA was opened 7 years ago and that the PM inaugurated something that was already open.  So what is the truth? Was the AIIA opened 7 years ago as claimed by the National Herald?

",real,Nikhil Khan
"India jumped 30 places to reach 100th rank in the latest EODB rankings of the World Bank. India’s jump by 30 places is the best for any country in 2018 though it is not the best ever.


Prime Minister Mr. Narendra Modi hailed India’s 30 place jump in the 2018 East of Doing Business (EODB) rankings of the World Bank. India’s overall rank improved from 130 in the 2017 report to 100 in the latest report. The Finance Minister Mr. Arun Jaitley also hailed India’s 30 place jump in the rankings. During a press conference, he said, “India’s 30 point jump is the highest any country had made in the doing Business rankings itself”. It is not clear whether he meant that this jump is the best in 2018 rankings or the best ever. So, is India’s jump the best ever?

",real,Shreya Rao
The government claimed that Swiss Bank deposits by Indians decreased during the current government while they increased during the UPA regime. Here is a Fact Check.  ,real,Varun Agarwal
"Claim: India’s spending on building a Library in Afghanistan is like 5 hours of what U.S. spends in Afghanistan. The U.S. President Donald Trump, during his press appearance at a cabinet meeting mocked India’s aid to Afghanistan i.e., Prime Minister Modi’s statement that India funded the construction of a library in Afghanistan. Here is a fact check of his claim.  ",real,Neha Fernandes
"In the last two days, there have been numerous stories written about how women can now have their maiden name in the passport and not change it after marriage.  Newspapers & various online media outlets picked up from the Prime Minister’s speech on the occasion of 50th year celebrations of Indian Merchant Chamber Ladies Wing. A closer analysis of what the PM said and how it was interpreted by the media reveals that it is a classic case of misreporting and trying to manufacture something that always existed.

",real,Rohit Reddy
"Claim: Under the UPA II, the average annual MSP growth rate was 19.3%, under the NDA government; this has fallen to 3.6% A press release issued in the name of former Prime Minister Dr. Manmohan Singh on 07th May 2018 mentioned about the MSP growth rates during the UPA II and the current NDA government. We fact check the claim.",real,Nandini Bose
"Claim: The ten years of UPA rule saw a considerable increase in expenditure on national security and defence, with an increase from 77,000 crore in 2004-05 to 1,93,407 crore in 2012-13. A section on the Congress party website talks about expenditure on various sectors during the UPA. Among other things, this section also talks about expenditure on Defence sector. Here is a Fact Check of the same.  ",real,Manav Agarwal
"Social Media has been abuzz with the following news for the last 3 days. The news refers to a RTI reply from the National Highways Authority of India (NHAI) which says if a vehicle is delayed for more than 3 minutes at a toll plaza, then one needn’t pay the toll tax. This reply was given to one Mr. Hariom Jindal, an advocate from Ludhiana. The reply was given by the Project Director of NHAI in their unit office in Jalandhar. ",real,Aisha Agarwal
"CBSE recently released the results of Class XII for the year 2017. Soon after these results were announced, the Deputy Chief Minister of Delhi Manish Sisodia, who also holds the education portfolio took to twitter announcing that Delhi Government schools did better than private schools for a second year in row. He also said that pass percentage ofDelhi Government schools is 88.27% & private schools is 79.27%.


He went onto tweet that Delhi government schools had 2% better results than private schools in 2016 and in 2017, the lead increased to 9%.



In fact, in a rare case of a BJP Minister appreciating AAP, union minister for Urban Development, Venkaiah Naidu tweeted a Times of India story on these results and said that Delhi government schools taking a 9% lead over private schools is impressive.



Almost all media houses like the Times of India, The Hindu, India Today , First Post, Hindustan Times shared these statistics. Times of India has also done an infographic on the Delhi results.

All the media houses went by what Manish Sisodia tweeted and did not care to check the data released by CBSE. CBSE put out a detailed statistical statement like every year and this tells a different story.


",real,Sameer Pandey
"Claim: The previous UPA government constructed only 25 lakh houses in their last 4 years where as the current government in the last 4 years constructed 1.25 crore houses, a difference of 1 crore houses. The Prime Minister Narendra Modi claimed that the previous UPA government constructed only 25 lakh houses during their last 4 years. ",real,Ishita Khan
"Claim: TRS Government stopped the Fee-Reimbursement Scheme  Rahul Gandhi alleged that the TRS government stopped the fee reimbursement scheme that was started during the Congress government. Rahul Gandhi visited Telangana and addressed a public meeting in which he made a lot of claims. We fact check some of his claims.   Congress Vice-President Rahul Gandhi visited Telangana on June 1st and addressed a public meeting in the Sangareddy district. During the course of his public address, he made allegations/claims against the ruling TRS government in Telangana & BJP government at the center. Here is a fact check on some of his claims. ",real,Arjun Bose
"One Mr. Nithin Nair posted on Facebook explaining how he was issued a challan and penalised for offering lift to unknown persons when it was raining heavily. We look at the relevant provisions of the MV act and fact check this claim.


A Facebook post by one Mr. Nithin Nair went viral a few days ago. In his post, he mentioned how the traffic police issued him a  challan for giving lift to unknown persons standing on the road. He also mentioned that he was booked under Sections 66 & 192 of the Motor Vehicles act. Is giving lift to unknown persons really on offence? What does the MV act say? Here is a fact check.



",real,Tanya Nair
"In the last few days, a circular in the name of an advisor to AICTE has been shared widely across social media. The crux of the circular is that the AICTE has scrapped the 75% attendance rule in all B.E/B.Tech courses and is introducing vocational projects instead of mandatory attendance. The circular is addressed to all the directors & principals of AICTE approved institutions. The circular mentions the following.

Latest statistics from a recent survey conducted by the National Sample Survey Office (NSSO) & AICTE in late 2017 indicate that 57.43% of the engineering graduates are unemployed
93% of the engineering graduates are unable to code in any of the programming languages
Rote learning & cramming remains popular with students for clearing examinations
Considering the statistics, the Ministry of Human Resource Development (MHRD) has decided to scrap the 75% attendance rule from 18th January 2018. Instead, students have to submit a vocational project related to their hobby or subject each semester. The degree would be awarded only to those who submit these projects and complete 3 mandatory internships.
The alleged circular then goes onto ask institutes to make relevant provisions and that detailed documents would be made available later both on the MHRD website as well as the AICTE website.AICTE 75% Attendance rule_1

",fake,Neha Nair
"Manmohan Singh made more foreign trips than Narendra Modi was the statement made by BJP President Amit Shah recently in Palampur of Himachal Pradesh.



But is Amit Shah’s statement true? Here is a fact check based on the data on the website of the Ministry of External Affairs.

",real,Ishita Nair
"BJP National President, Amit Shah,  claimed in a press conference in Delhi that BJP has lost 13 seats where the margin is less than the NOTA, including 6 in Bengaluru region in the recently concluded Karnataka assembly election. Below is a screenshot from the press release uploaded on the BJP website.Amit Shah wrong about Karnataka Elections_1

The video uploaded by the BJP also confirms that Amit Shah did make this claim.



",real,Pooja Chawla
"Actress Sridevi was accorded a State Funeral and the National Flag was draped around her coffin. Was she accorded the state funeral because she was a Padma awardee? Here is a fact check.


Actress Sridevi was accorded a ‘State Funeral’ and the national flag was draped around her body. Twitter was abuzz with speculation that the ‘State Funeral’ to Sridevi was because of her being a Padma Awardee. Is it true that Padma awardees are accorded a ‘State Funeral’? Here is a Fact Check.

",real,Sameer Kulkarni
"Claim: Modi government paid off the pending bills of the Oil Bonds. Many BJP leaders including the petroleum minister were quoted as saying that the current government repaid more than  Rs 1.5 lakh crore worth oil bonds which were issued during the previous UPA government. What is the truth? Many BJP leaders including the petroleum minister were quoted as saying that the current government repaid more than  Rs 1.5 lakh crore worth oil bonds which were issued during the previous UPA government. The BJP’s official twitter handle put out an infographic which claimed that the current government repaid pending oil bonds worth Rs 1.3 crore with an interest of Rs 40,000 crore. What the economist PM Manmohan Singh said & did on petroleum prices? He said that money does not grow on trees & left unpaid bills of oil bonds worth Rs. 1.3 lakh crore. Modi govt paid off the pending bills with interest because ‘we should not burden our children’. #NationFirst pic.twitter.com/Z8zTV1kG1i — BJP (@BJP4India) September 10, 2018  ",real,Meera Mehta
"This is the age of fake & false news. Not a day passes without coming across at least one fake/false news story. In the past few days, a message has been going around on WhatsApp that the government is obliged to give compensation worth ten times the average annual income of the last three years to that person’s family who dies in an accident. The message also says this is based on a particular section of the Motor Vehicles Act 1988 (MV Act) and a Supreme Court judgement in a related case. Both the claims are false as we explain below.

",fake,Sameer Pandey
"Claim: GDP growth rate was 8.02% during the UPA government’s tenure while it is only 5% under NDA government. Soon after the GDP growth for quarter-1 of 2019-20  was known to be a poor 5%, the Congress party uploaded an infographic with a bunch of claims on GDP growth, Unemployment rate, Exports growth etc. Here is a fact check of these claims. On 02 September 2019, the Indian National Congress posted an infographic comparing the GDP, Unemployment Rate, Exports Growth and Car Sales growth in India during the Manmohan Singh led UPA government’s tenure and the current NDA government led by Narendra Modi. Here is a fact check of these claims.  ",real,Rahul Kulkarni
"Various newspapers had published a PTI story saying there was a massive reduction in the education budget by the new UP government. Political parties also picked up the story without cross checking the facts.        The Uttar Pradesh government headed by the BJP presented its first budget recently. The very next day, PTI ran a story which was published by websites like the Business Standard as an automated feed that the UP   government has slashed funds for education in the 2017-18 budget.  Soon after, the Congress Vice- President, Rahul Gandhi also tweeted the Business Standard story. Great move CM Yogi – next you can save some more money by closing all the hospitalshttps://t.co/1CCqrb5crf — Office of RG (@OfficeOfRG) July 15, 2017  The Aam Aadmi Party posted this picture on its Facebook page. The AAP also seems to have taken the numbers from the PTI report published in Business Standard.  So what is the truth? However, the UP government’s Budget documents tell a different story. Below are the links to the official budget documents There is a primary difference between the nature of budgets for the year 2016-17 and 2017-18 in the way the allocations are made. The central government and most state governments have done away with the Plan/Non-Plan mode of budgeting to Revenue/Capital budgeting. Even UP has done the same. Despite this change, the allocations have increased and not decreased.   Compared to the budget estimates of 2016-17 by the Akhilesh Yadav government, the education allocation in 2017-18 budget estimate has gone up by over 25%. The allocations have increased in Primary, Secondary as well as Higher education sectors. If one compares the revised estimates of 2016-17, the increase in allocations is over 30%. Even PRS Legislative Research has noted the same in their analysis of the UP Budget 2017-18. PRS noted that compared to the budget estimate for education in 2016-17 of Rs 49808 (including the budget of SCERT), the 2017-18 budget estimate for education increased by Rs 12500 crore.",real,Kunal Rana
All hell broke loose on Monday evening when the government announced that Jio Institute has been shortlisted to be among six educational institutions in the country which will get a status of 'Institution of Eminence'. People questioned how come an institute which can't even be found in a Google search get the status of Institution of Eminence?,real,Riya Kaur
"  Several photos and videos surfaced on social media within few hours of the tragic crash of Lion Air flight JT-610 into the sea on Monday in Indonesia with 189 people on board. One such post shared on Facebook more than thousand times claimed by the users as a baby rescued, miraculously from the unfortunate Lion aircraft. This apart a video also shared by hundreds on Facebook claimed that this was the last moments captured inside the Lion aircraft JT-610. ",real,Kavya Rana
"The issue of farm loan waiver is said to be one of the main factors which contributed to the victory of Congress in assembly elections. But is Congress president Rahul Gandhi retracting from the promise of loan waiver within 10 days, even before the new Congress governments are formed in Rajasthan, Chhattisgarh and Madhya Pradesh? This is being claimed by thousands of people on social media. The video has been made with clubbing two clips to convey misleading message.Two well-known right-wing Facebook pages - ModiNama and Nation with NaMo -- put up videos claiming how Rahul has already retracted from his statement on loan waiver. The video being shared by these pages has been made putting together two separate video clips. The first clip is from Rahul's election speech in Chhattisgarh and the second clip is from the press conference in New Delhi post elections result on Tuesday."", 'The message in ModiNama video reads: ""Waade se palte Rahul (Rahul retracts from his promises)"". The 43-second-long video carries ""before and after"" videos of Rahul with a message, ""Jeet ke 24 ghante ke andar hi dikha Pappu ke asli rang (Within 24 hours, Pappu (Rahul) shows his true colours.The Nation with NaMo page also put up similar video of Rahul with a caption: ""Rahul Gandhi goes back on loan waiver promise 24 hours after election results"".In the first window of the ModiNama page, the video clip with a caption, ""Chunav jitne se pehle"", shows a portion of Rahul\'s election speech. Here, he promised to waive off farmers\' loan within 10 days if the Congress comes to power.In the second window, the video with a caption, ""Chunav jitne ke baad"", shows a small portion of the Congress president\'s press conference where he begins by saying, ""Karz maafi solution nahin hai..."" (loan waiver is not the solution).This post has been already been shared on Facebook more than 22,000 times at the time of filing the story. ModiNama has nearly 19 lakh followers.'",real,Nikhil Kaur
"Many people on social media are astounded and amused by a video clip where a martial artist is expertly playing ping-pong with a Nunchaku -- a traditional martial art weapon rather than a paddle. The black and white clip has been posted and shared by many on Facebook claiming that this is the rare clip of martial arts star Bruce Lee playing ping-pong with Nunchaku in 1970. Users like Sumita Chakraborty posted this clip recently on Facebook, saying, ""A priceless clip of 1970 of Bruce Lee playing Table Tennis with his Nan-chak !! His focus on speed, reflexes and accuracy was absolutely incredible""  The archived version of the post is saved here. ",real,Yash Nair
"Nobel laureate Amartya Sen has long been a critic of Prime Minister Narendra Modi and his policies. But did he ever say in an interview that watching cartoon is better than watching oath-taking ceremony of Modi? Many on Facebook have posted an article published by Bengali blog Bharat News’, claiming that the noted economist has said this in an interview to a British media organisation.  ",real,Shreya Rao
"Just a day after trolls questioned the authenticity of the pictures Congress president Rahul Gandhi shared from his Mansarovar yatra on social media, he was forced into another controversy for a photograph in which he was seen standing with a pilgrim with a stick in hand. Sadhvi Khosla was among the first who shared it on Twitter and soon it was being shared and commented widely. The man with whom Rahul is seen in the picture is Mihir Patel, an engineer from Ahmedabad in Gujarat. The twist in the story surfaced when Union minister Giriraj Singh made an allegation through his Twitter account (@girirajsinghbjp ) that Rahul's picture was photoshopped. He wondered ""where the shadow of the stick vanished""? Thousands of people retweeted and liked Giriraj's tweet and soon a full-fledged debate ignited on social media about the mystery of missing shadow of the stick which Rahul was holding. ?? ?? ???????? ?? ...???? ?? ?????? ????? ?? ? pic.twitter.com/me3ke7m17x ",real,Meera Kapoor
"After more than a thousand cases of coronavirus were traced to a Tablighi Jamaat congregation in New Delhi's Nizamuddin area, its chief Muhammad Saad Kandhalvi or Maulana Saad is at the centre of controversy with police sending him a couple of notices regarding the gathering. Amid this, a message has gone viral claiming that according to English newspaper ""News Letter"", Maulana Saad donated Rs 1 crore to the Prime Minister's Relief Fund to fight coronavirus. The message, along with an image of ""News Letter"", is circulating on WhatsApp, Facebook and Twitter. The viral image shows the front page headline of ""News Letter"" dated March 30, 2020, saying, ""On March 28th, Molana Saad donated an amount of 1 core to the PM MODI Relief Fund."" This comes with a picture of Maulana Saad and some text. READ POST HERE",fake,Arjun Gupta
"A video of school children touching the feet of a soldier is going viral on social media, and users hope’ that stone pelters in Kashmir behave the same way. Facebook user Ramdeo Angh shared the video with the Hindi caption: Kash ke Kashmir ke pathharbaaz inn naujawano se kuch sikhte #bhartiyasena# INDIANARMY (only if stone pelters in Kashmir could learn something from these youngsters).  ",real,Tanya Chawla
"Amid violent protests across the country against the Citizenship (Amendment) Act, especially in West Bengal, a picture of an unconscious man in khaki uniform is going viral on social media. It is being claimed that a CRPF jawan was killed by anti-CAA protesters. The picture was posted by Facebook user Ashish Raj in a group called WE SUPPORT NARENDRA MODI. The Hindi claim along with the picture translates to, There’s very sad news. CRPF jawan Dharmendra bhai became a victim of anti-CAA protesters. OP Meena is seriously injured. Heartfelt tributes. ",real,Divya Kulkarni
"A heartbreaking image of corpses of dogs dumped allegedly in Gujarat is getting viral on social media. It has been claimed that the stray dogs are being killed in Gujarat ahead of United States President Donald Trump's India visit. Along with the first lady Melania Trump and his delegation, Donald Trump will be in India for his two-day visit on February 24 and 25. They will cover Ahmedabad in Gujarat, Agra in Uttar Pradesh and Delhi. Prime Minister Narendra Modi and Donald Trump are also expected to inaugurate Ahmedabad's Motera cricket stadium at a public reception event on February 24 being named as ""Namaste Trump"". ",real,Divya Verma
"Netizens have started slamming Gujarat BJP government over a photo showing some kids sitting on jute mats - who appear to be studying in a filthy alley. The photo is getting viral on social media with a claim that it's the condition of a government school in Gujarat. The post also claims that the government spends Rs 4,000 crore on Kumbh festival but spends Rs 400 crore on education in the country.  ",fake,Divya Fernandes
"As India celebrated its 73rd Independence Day on Thursday, a video of jets performing an air show has gone viral on social media. The claim The claim attached with the video says it is the celebration of India's Independence Day at Trafalgar Square in London. The video shows jets flying in a pattern and producing smoke trails of green, white and red.  ",real,Divya Kulkarni
"Is there a 'floating rock' in Jerusalem? A Facebook post with an image of a boulder claims to show it is miraculously floating in the air in the Israel capital. Facebook user 'Gopidas Debnath' uploaded the post which says, ""There is a 'Floating Rock' in Jerusalem, floating in air from thousand's of years. After many researches, still there is no explaination of it."" He captioned the post, ""Floating rock. Is there any explanation?""",real,Yash Saxena
"A set of two photos has gone viral on social media with the claim that a 28-year-old doctor in Maharashtra, Dr. Maneesha Patil, has died of Covid-19 while treating patients infected with coronavirus. While one of the photos shows a woman with a stethoscope around her neck, the other shows a woman and a man in medical costume. ",fake,Neha Iyer
"Heavy rains have wreaked havoc in various parts of India, including Himachal Pradesh and Uttarakhand. Amid this, a video is going viral on social media showing a massive mudslide with trees sliding down a mountain. It is being claimed that the video is from Arakot village of Uttar Kashi district in Uttarakhand. In the video, people can be seen running in panic. ",fake,Divya Fernandes
"Many people are in panic about job loss and salary cuts as they fear that the economy will face the worst possible downturn due to the ongoing nationwide lockdown. This panic has not spared the pensioners.A message has been circulating on WhatsApp and Facebook that the government is going to slash the pension of employees by 30 per cent and terminate it for those above the age of 80.As per the viral claim, this is in order to divert funds towards managing health services and tackle the adverse effects of the coronavirus pandemic in the country.In support of their claim, some netizens are also forwarding a news article of ""Rediff"" published on April 6, 2020, with a headline saying: ""Govt may slash pension to employees to by 30%""",real,Rahul Menon
"A collage of two photographs apparently depicting the struggle story of French politician Najat Vallaud-Belkacem is going viral on social media. The post claims that a young girl shepherd from Morocco grew up to be France’s education minister 20 years later. Facebook user N H Partho was among many who posted the claim. Partho’s post was liked by more than 1,700 people and shared by scores of others at the time of filing this story. ",real,Divya Bose
"A video of a motorcycle accident has gone viral on Facebook with the claim that Tamil actor Ajith Kumar suffered a mishap during shooting. Facebook pages such as Tamil Kickass and Kollywood Newz have used a 22-second video clip showing a biker falling off the edge of a quay, and along with his motorbike, landing on a boat. The archived versions of the two posts can be seen here and here.   ",real,Karan Mehta
"Even as the government tries to push more Indians to go cashless, a video tweeted by business tycoon Anand Mahindra has left social media users worried about the credit and debit cards as digital mode of payments. Is this really possible? Scary stuff. On the other hand, the next time a cashier gives me grief and asks for my pin code I would be happy to turn and show my rear... pic.twitter.com/ILXHxqI5Sq The video shows a man secretly tapping the pocket of another man and completing a transaction. The man from whose pocket the card is 'tapped' stands unaware of what has happened. The location of the video could not be traced but is enough to draw our attention towards the issue. The 'victim' of the fraud transaction is said to have a 'paypass' card in his pocket. The man shooting the act asks people to be 'beware' of such a fraud. Looking at the video it can be concluded that it has not been shot in India.
 So, is it possible that a transaction is possible with a simple scan of a card from a little distance",real,Arjun Gupta
"A picture of Delhi chief minister Arvind Kejriwal walking down a narrow alley along with other people is going viral on social media. In the photo, the Aam Aadmi Party leader's shirt appears to be wet, and it is being claimed that a woman threw dirty water at him. Facebook user ""Hardik Goyal"" posted the picture on social media with a claim in Hindi that translates to, ""It has started. A woman threw the same dirty water at Kejriwal that is coming through taps."" The archived version of the post can be seen here. ",real,Neha Kapoor
" thís message that has been doing the rounds mostly via WhatsApp and emails ""12.30 August 27th you will see two moons in the sky, but only one will be the moon. The other will be Mars. It won\'t happen again until 2287. No one alive today has ever witnessed this happening.""', 'The same message is also being circulated in other languages other than English on WhatsApp groups.', ""But beware! Don't believe this! Don't stay up till midnight staring at the night sky looking for this spectacular celestial event! Because it's never going to happen! Never, ever!""",real,Neha Mehta
"Much has been written about Netaji Subhash Chandra Bose, but the same cannot be said about his wife. And this is probably why many social media users have fallen for a black-and-white photo of a foreigner wearing a saree, claiming her to be Netaji’s wife Emilie Schenkl. Facebook pageVijeta Malik BJP uploaded the woman’s picture, along with a long write-up, claiming that the photo is of Netaji’s wife Emilie. Till the filing of this story, the post had been shared almost 800 times. The archived version can be seen here.  Many Facebook, YouTube and Twitter users have shared the same photo and claim.  ",real,Arjun Joshi
"Assam's National Register of Citizens (NRC) has sparked a national debate on citizens versus aliens, alleged witch-hunt against ethnic minorities and on 40 lakh people expected to be stripped of their land and voting rights in the north-eastern state.",real,Ishita Nair
" Facebook post with a collage of three images showing an ailing woman and a kid and a crying man has gone viral with an emotional appeal related to coronavirus.', 'The viral message on the Facebook post looks as if the man is appealing for prayers and more Facebook shares because his wife and daughter are suffering from coronavirus.', 'The caption reads "" My wife and daughter are infected with corona virus please pray for them I don\'t want to loose them...Oh heavenly Father deliver any one who share this prayer from any form of CORONAVIRUS and DEATH.. I\'m not asking for money just a single share and prayers. Please share to atleast 5 groups on Facebook so they can get more prayers don\'t be heartless to help a dying child and mother."" (sic)', 'The Facebook post also has a link to a blogpost which also asks the user to click for prayer.', '', ",real,Neha Iyer
"With the announcement of the Lok Sabha election dates, the issue of Electronic Voting Machine (EVM) has made a comeback on social media. Amid all the hullabaloo, a Facebook post has gone viral, claiming that Prime Minister Narendra Modi boycotted the EVM when he was not in power.

",fake,Nandini Bose
"The Congress stands a divided house over the government’s move to revoke Article 370 in Jammu and Kashmir. Several Congress leaders such as Jyotiraditya Scindia, Deepender Hooda, Bhubaneswar Kalita and Janardan Dwivedi have voiced their support for the Narendra Modi government. This was reported widely in the mainstream media. The claim Amid this, a message in Hindi is doing the rounds on social media, attributing it to former Prime Minister Manmohan Singh. The message claimed that Singh said the Congress will have to pay a huge price like staying away from power for years for going against the NDA government’s decision on J&K. But even then we are ready to sacrifice the party’s interest to save our nation.  ",real,Ishita Mishra
"A message along with a video of a police officer is going viral on social media. The message states that from midnight onwards (no date mentioned), the Disaster Management Act has been implemented across the country, as per which apart from government departments, no other citizen is allowed to post any update or share any forward related to the novel coronavirus. It is a punishable offence so admins are requested to inform their group members, the message reads. With the message, a video of a police officer is attached who can be heard saying that if a person posts anything offensive, then the group admin will be responsible and will also face legal action. ",real,Aisha Agarwal
"Scientists across the globe have been racing against time to develop a treatment for the deadly Covid-19. The Oxford University is even awaiting positive results from its human trials of the coronavirus vaccine. In such a situation, social media is full of remedies to cure or prevent a coronavirus infection. Recently, multiple news reports have cited a study to claim that the anti-tuberculosis Bacillus Calmette-Guérin (BCG) vaccine may be effective against Covid-19. This claim is viral on Facebook and WhatsApp.  The archived version of the post can be seen here.",real,Rohit Reddy
"The fifth International Yoga Day on Friday covered the internet with a plethora of images of people performing yoga at different locations around the world. A day before, the Indian Navy spokesperson also tweeted a pleasing picture with the hashtag #InternationalDayofYoga in which a group of people can be seen performing yoga at a beach during sunset.  #InternationalDayofYoga #IndianNavy personnel doing #yoga at Kamat beach in Karwar Naval Base, Katnataka pic.twitter.com/62K3YrqsRB Some 10 minutes later, news agency ANI tweeted the same image, following which netizens started trolling it for posting an old picture. The archived version can be seen here.  Karnataka: Indian Navy personnel perform yoga at Kamat beach near Naval Base in Karwar pic.twitter.com/Ew6pwEVnk0 ",real,Manav Bose
"Is the Centre reintroducing the controversial Financial Resolution and Deposit Insurance (FRDI) Bill 2017 in Parliament? A few social media users would certainly have one believe so. The contentious Bill, introduced in 2017, had a 'bail-in' clause for resolution of bank failure which had led to fears that customer deposits could be used to bail out a failing bank. ",fake,Nandini Bose
"A group photograph has gone viral on social media with the claim that this is the family of the world's most prolific mother, who has given birth to 69 babies. Facebook page ""Sarcasm World"" posted the photo with the caption, ""The record for most babies born to one woman is 69. Mrs. Vassilyeva from Russia gave birth to 16 pairs of twins, seven sets of triplets and four sets of quadruplets."" The archived version of the post is saved here. ",real,Varun Agarwal
"Did ""Shraddha Kapoor"" slam the Congress over the alleged Machil fake encounter case of 2010? A ""tweet"" posted by Facebook page -- I Support Narendra Bhai Modi Bjp -- has gone viral, claiming that the actor criticised the Congress over the incident.",real,Manav Rana
"Two videos of agitated passengers arguing with officials at an airport lounge have gone viral on social media with the claim that the incident took place on Wednesday at Terminal 3 of Delhi's Indira Gandhi International Airport (IGIA). In the videos, some passengers could be heard screaming ""shoot us"", ""we do not feel safe here"", ""we do not want to stay here"" and ""please give back our passports"". Facebook users such as ""Parvinder Singh Sethi"" and MercyPou Jonathan Panmei claimed passports of arriving passengers were being taken away and not returned till the tests were done, in an apparent reference to the coronavirus scare.  ",real,Aditya Agarwal
"With all domestic and international flight services suspended as part of the coronavirus lockdown, a picture of a BJP MP's wife on a flight has gone viral on social media. The post claims that the wife of Saumitra Khan, BJP Lok Sabha MP from Bishnupur in West Bengal, flew to Kolkata on a SpiceJet flight during lockdown, at a time lakhs of migrant workers are covering thousands of miles on foot to reach their homes. ",fake,Shreya Iyer
"After the meeting of West Bengal chief minister Mamata Banerjee with Union Home minister Amit Shah in New Delhi on September 19, an image of the duo has gone viral. The viral image shows both of them holding a white envelope, purportedly with 'Jai Shri Ram' written on it with the diagram of a temple in the background.  ",real,Simran Chawla
"Stories of newly found islands always captivate our imagination! An edited YouTube video claims that a mysterious new island has suddenly come up off the coast of Mumbai. This video has created quite a buzz on social media as many shared it believing the story to be true. 'This one-minute fourteen-second long video was uploaded on Youtube on December 27 last year. The caption reads ""#floatingisland Floating Island spotted near coast of Mumbai. ",real,Siddharth Kulkarni
"At least 10 people were killed and over 150 injured in the violence in Delhi till reports last came in. Head constable Ratan Lal was among those killed, while 56 policemen, including Shahdara deputy commissioner of police (DCP) Amit Sharma, were injured.', 'On social media, there are claims that DCP Sharma has succumbed to injuries. Facebook user Subhash Kumar Saw wrote a post in Hindi which translates to, Very sad news from Delhi. After constable Ratan Lal Yadav became a victim of jihadi stone pelters, DCP Amit Sharma too lost his life due to bullet injuries.', ",fake,Nandini Bose
"Discussion about cannibalism can be both disturbing and disgusting for most people, but a post is being shared widely on Facebook with the claim that a restaurant in Japan is serving human meat. ",real,Kunal Nair
"A few days ago during his election campaign, Prime Minister Narendra Modi sparked a controversy by accusing former PM Rajiv Gandhi of using navy warship INS Viraat as his ""personal taxi"" for family vacation. Many Facebook users have now accused Finance Minister Arun Jaitley for misusing a navy helicopter for personal use. Facebook user Samuel George posted a picture of Jaitley along with army officers and a chopper in the background. The caption reads: ""Arun Jaitley as Defence Minister used an Indian Navy chopper to ferry his family to a wedding in Goa."": Look the family behindall on official duty? #Hypocrite.""  ",real,Meera Mehta
"With more than 93,000 infected and over 3,200 deaths across 80 countries, the coronavirus scare is only getting worse and reaching newer territories. At the same time, misinformation regarding the virus is fanning panic among netizens. Not even celebrities are spared. An Instagram post claims that American rapper Marshall Bruce Mathers, popularly known as Eminem, has been diagnosed with coronavirus. The post by factcurse on February 6 claimed, In a statement released by doctors, it has been revealed that his plams (palms) were sweaty, kees (knees) weak and arms were heavy. He presented with vomit on his sweater already. The archived version can be seen here. ",real,Karan Nair
